material_id,material_name,manufacturer_id,manufacturer_name,pfas_status,modified_service_pfas_status,current_service_pfas_status
297e0383901730ca01901b6932980a55,Coated Abrasives,297e0383901730ca01901b6932980a54,Tru-Maxx,,NO,PENDING
297e0383901730ca01901b5ee8fa0a12,"3M SCOTCH-BRITE HAND PADS, 5440, 7449",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b6ae5230a66,Hysol MB 50 (465450-US03),297e0383901730ca01901aef437305e2,"Castrol Industrial North America, Inc.",,NO,PENDING
297e0383901730ca01901b6cf6c10a81,Additive A34 (29108-02),297e0383901730ca01901a71b845010a,"BLASER SWISSLUBE, Inc.",,Undetermined,PENDING
297e0383901730ca01901b6b95730a72,Gun Drilling Oil 601,297e0383901730ca01901b27b64a081b,"Linder Oil Company, Inc.",,NO,PENDING
297e0383901730ca01901b7b1e3a0aff,Bonded Molded Abrasive Products,297e0383901730ca01901a92f54a0264,"Cratex Manufacturing Co., Inc.",,NO,PENDING
297e0383901730ca01901b6e61a70a90,Coated Abrasive (1049134_CA_All) (66623344127),297e0383901730ca01901a8a5e9a0209,"Saint-Gobain Abrasives, Inc.",,NO,PENDING
297e0383901730ca01901b86aaac0b4d,ECOCOOL SYN 2175,297e0383901730ca01901b86aaac0b4c,Fuchs Lubricants Co.,,NO,PENDING
297e0383901730ca01901b6b26170a6e,YUMATE CN-30,297e0383901730ca01901b6b26170a6d,"Yushiro Manufacturing America, Inc.",,Undetermined,PENDING
297e0383901730ca01901b76948f0ae3,"Scotch-Brite Metal Finishing Wheel, ACRS",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b7503730ad2,"Scotch-Brite Products EXL, EX2, EX3 Deburring Wheels and Buns, A MED",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b723de10ab3,2948 siatur jj,297e0383901730ca01901ade68dc0552,sia Abrasives Industries AG,,NO,PENDING
297e0383901730ca01901b88147d0b5a,SWISSCUT ORTHO NF-X 22,297e0383901730ca01901a78dc9f0142,MOTOREX AG LANGENTHAL,,Undetermined,PENDING
297e0383901730ca01901b83507e0b36,Mirachem M2750 Cleaner / Degreaser (2755),297e0383901730ca01901b216fa307c8,"Mirachem, LLC",,NO,PENDING
297e0383901730ca01901b7fce770b28,BLASOCUT BC 935 (1935-02),297e0383901730ca01901a71b845010a,"BLASER SWISSLUBE, Inc.",,PFAS (Undetermined),PENDING
297e0383901730ca01901a7d9eb40183,VWR Spec-Wipe 7 Wipers,297e0383901730ca01901b5cb3850a04,"VWR International, LLC",,NO,NO
297e0383901730ca01901b998ca80bce,Blue Rouge Polishing and Buffing Compound Bar,297e0383901730ca01901afaa45c067c,Formax Mfg. Corporation,,NO,PENDING
297e0383901730ca01901b991a6a0bcb,MOBIL VACTRA OIL NO. 4,297e0383901730ca01901a7884c0013c,EXXON MOBIL CORPORATION,,NO,PENDING
297e0383901730ca01901b9e53240bf3,9B27 WS STAINLESS STEEL COMPOUND,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,NO,PENDING
297e0383901730ca01901b90ac1e0b97,"3M Scotch Brite Products, High Strength HS A-VFN, A-FIN: Discs, Sheets, Rolls, Brushes, Satin Pleated Buff Wheels, Cross Buffs, High Strength Cleaning Brushes",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901ba80a810c32,Performance Bio NC Ultra Lite (468311-US03),297e0383901730ca01901a67fa630097,BP Lubricants USA Inc.,,Undetermined,PENDING
297e0383901730ca01901ba150920c04,"Abrasive Products, 967F",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901b9bb9940be6,HF1,297e0383901730ca01901a9dc4e202bd,Matchless Metal Polish Co.,,NO,PENDING
297e0383901730ca01901ba9f0ea0c4a,"Abrasive Products, 384F",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901bbab6400cd3,"3M Abrasive Product, 302D, 304D, 332D - P400-P600",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
297e0383901730ca01901bb807590cbd,Rex-Cut Abrasives cotton fiber abrasive products,297e0383901730ca01901ae45f0b0584,"Rex-Cut Abrasives, Inc.",,NO,PENDING
297e0383901730ca01901ba93a470c42,MOBIL DTE 10 EXCEL 32 (201560103630),297e0383901730ca01901a7884c0013c,EXXON MOBIL CORPORATION,,NO,PENDING
297e0383901730ca01901bb6d8cb0cb5,ROTO-BRITE XD-45,297e0383901730ca01901bb6d8cb0cb4,"HAMMOND ROTO-FINISH CO., INC.",,NO,PENDING
297e0685902d15e701902dde0f9909cf,Vasco 5000 (2850),297e0383901730ca01901a71b845010a,"BLASER SWISSLUBE, Inc.",,NO,PENDING
297e0383901730ca01901bcd7a0c0d46,Ionoplus (7837842),297e0383901730ca01901bcd7a0b0d45,Del-Held Gmbh Minaraler Iverk,,Undetermined,PENDING
297e038590248589019024dce8830001,"Abrasive Products, 314D, Grades P80 - P400 Utility Cloth",297e0383901730ca01901a6f09db00e0,3M,,NO,PENDING
